Rose Marie,"Musical, Adventure, Comedy, Drama, Romance, Western","Tomboy Rose Marie Lemaitre, the orphaned ward of Mountie Mike Malone, falls in love with him, and he with her. But when she goes to ""learn to be a lady"", she meets outlaw trapper James Duval, who also falls in love with her. But Duval is in a dispute with the local Native American chief Black Eagle, and soon Black Eagle is murdered."
Rose-Marie,"Musical, Romance, Adventure, Drama, Western","Opera singer (Marie de Flor) seeks out fugitive brother in the Canadian wilderness. During her trek, she meets a Canadian mountie (Sgt. Bruce) who is also searching for her brother. Romance ensues, resulting in several love duets between the two."
Sabotage,"Action, Crime, Drama, Thriller, Western","An elite DEA team raids the safe house of a drug cartel and hide $10 million in the plumbing. When they go back to retrieve the money it is not there. The team is under investigation for the missing $10 million. Then after a couple months the investigation is lifted. The team trains together again and then celebrates at a strip club. Then one of the team is murdered. He wakes up in his RV on railroad tracks. Then a second team member is nailed to the ceiling. The third team member is gunned down at his remote cabin. There is a female City of Atlanta investigator in charge of the murders. After investigating the cartel angle, the twisted truth comes to light."
San Francisco,"Drama, Musical, Romance","Mary Blake arrives at Blackie Norton's Paradise gambling hall and beer garden looking for work as a singer. Blackie embarrasses her by asking to see her legs, but does hire her. She faints from hunger. Nob Hill Socialite Jack Burley and Maestro Baldini of the Tivoli Opera House see her singing and offer her a chance to do opera, but Blackie has her under a two-year contract which she sorrowfully stands by. Later, when he makes up posters featuring Mary in tights, she does leave for the Tivoli. Blackie gets an injunction against Burley, but knocks out the process server when he hears Mary's performance as Marguerite in ""Faust"". She asks her to marry him and she agrees to go back to the Paradise as his kind of singer, but Blackie's childhood chum Father Tim intervenes. After Blackie slugs the priest, Mary leaves. She is soon the star of the Tivoli and Blackie's place is closed down. She sings a rousing ""San Francisco"" on behalf of the Paradise at the annual ""Chicken Ball"" and wins the $10,000 prize which Blackie throws to the floor. As she storms out of the hall a terrible rumble betokens the famous San Francisco earthquake. Buildings collapse, streets split wide open, the city burns, the army dynamites whole sections of town. After staggering around in a stupor Blackie finds Father Tim and the two of them find Mary at a Salvation Army camp. Backed by hundreds of others, they look out over the ruins which are gradually replaced by the shining new city with a reprise of the title song."
Show Boat,"Drama, Family, Musical, Romance","The ""Cotton Blossom"", owned by the Hawk family, is the show boat where everyone comes for great musical entertainment down south. Julie LaVerne and her husband are the stars of the show. After a snitch on board calls the local police that Julie (who's half- African-American) is married to a white man, they are forced to leave the show boat. The reason being, that down south interracial marriages are forbidden. Magnolia Hawk, Captain Andy Hawks' daughter, becomes the new show boat attraction and her leading man is Gaylord Ravenal, a gambler. The two instantly fall in love, and marry, without Parthy Hawks approval. Magnolia and Gaylord leave the ""Cotton Blossom"" for a whirl-wind honeymoon and to live in a Pl: fantasy world. Magnolia soon faces reality quickly, that gambling means more to Gaylord than anything else. Magnolia confronts Gaylord and after he gambles away their fortune he leaves her - not knowing she is pregnant. Magnolia is left penniless and pregnant, and is left to fend for herself, and make a new start."
Small Town Girl,"Comedy, Romance","Kay is a girl living in a small rural town whose life is just too dull and repetitious to bear. One night, she meets young, handsome, and rich Bob Dakin, who asks her for directions while drunk and then proceeds to take her out on a night on the town. Kay likes the stranger, and when the drunken Bob decides that they should get married, Kay hesitates little before consenting. The morning after the affair, Bob, once sober, regrets his mistake. His strict and upright parents, however, insist that the young couple pretend marriage for 6 months before divorcing, in order to avoid bad publicity. Bob resents Kay for standing in the way of him and his fiancée, Priscilla, but Kay still hopes that he'd have a change of heart."
Swing Time,"Comedy, Musical, Romance","Lucky is tricked into missing his wedding to Margaret by the other members of Pop's magic and dance act, and has to make $25000 to be allowed to marry her. He and Pop go to New York where they run into Penny, a dancing instructor. She and Lucky form a successful dance partnership, but romance is blighted (till the end of the film at least!) by his old attachment to Margaret and hers for Ricardo, the band leader who won't play for them to dance together."
Tarzan Escapes,"Action, Adventure","Jane's cousins Rita and Eric Parker arrive in Africa searching for her. Their uncle has died and has left her half a million pounds provided she agrees to return to civilization. A professional hunter, Captain Fry, quickly agrees to escort them to the escarpment where rumor has it there there lives a great white ape. He's intrigued when told that the great white ape is likely Tarzan and his plan is to capture him and put him on display. When they all find each other, Jane agrees to return to London if only to ensure that her cousins get their late uncle's wealth. Fry manipulates Tarzan into believing that Jane will never return only to trap him. When Jane and the others are taken prisoner by warring tribesmen, it's left to Tarzan to rescue them."
Theodora Goes Wild,"Comedy, Romance","The small-town prudes of Lynnfield are up in arms over 'The Sinner,' a sexy best-seller. They little suspect that author 'Caroline Adams' is really Theodora Lynn, scion of the town's leading family. Michael Grant, devil-may-care book jacket illustrator, penetrates Theodora's incognito and sets out to 'free her' from Lynnfield against her will. But Michael has a secret too, and gets a taste of his own medicine."
These Three,"Drama, Romance","This first film version of ""The Children's Hour"" uses a heterosexual triangle rather than the play's lesbian theme. The plot concerns schoolteachers Karen Wright and Martha Dobie, both of whom are in love with Dr. Joe Cardin. The malicious lie of one of their students involves all three in a scandal which disrupts all their lives."
The Children's Hour,"Drama, Romance","Karen Wright and Martha Dobie are best friends since college and they own the boarding school Wright and Dobie School for Girls with twenty students. They are working hard as headmistresses and teachers to grow the school and make it profitable. Karen is engaged with the local doctor Joe Cardin, who is the nephew of the powerful and influential Mrs. Amelia Tilford. While the spiteful and liar Mary, who is Amelia's granddaughter and a bad influence to the other girls, is punished by Karen after telling a lie, Martha has an argument with her snoopy aunt Lily Mortar in another room. Lily accuses Martha of being jealous and having an unnatural relationship with Karen. Mary's roommate Rosalie Wells overhears the shouting and tells Mary what Mrs. Mortar had said about her niece. The malicious Mary accuses Karen and Martha of being lesbians to her grandmother and Amelia spreads the gossip to the parents of the students that withdraw them from the school. Karen and Martha lose a lawsuit against Amelia and have their lives destroyed. Further, Karen calls off her engagement with Joe when he asks her if what was said about Martha and she was true. The lie ends in a tragedy."
Three Godfathers,"Action, Drama, Western","Four outlaws come to New Jerusalem, a town full of courteous and religious people, to rob the bank. After shooting the president of the bank, only three make it out of town followed by the posse. By the time they get to the second desert water hole, they find it dry and also find a wagon with a dying mother and baby. When the horses are dead the next morning, the three outlaws have no choice but to try to walk back to New Jerusalem and only two want to take the baby."
Three Smart Girls,"Comedy, Musical, Romance","The three Craig sisters, in Switzerland with their ten-years-divorced mother, run away to New York to prevent their father from marrying calculating socialite Donna Lyons. The overpowering vivacity of the Smart Girls (nominal ages 14-20) sweeps all before it, but a romantic complication between middle sister Kay and their accidental ally, Lord Michael Stuart, threatens shipwreck to their schemes..."
The Trail of the Lonesome Pine,"Adventure, Drama, Romance, Western","A feud, the origins of which can barely be remembered, has been boiling for decades between two sheltered mountain families, the Tollivers and the Falins. With plans to build a railroad through both families' land and mine coal deposits beneath it, enterprising outsider Jack Hale (Fred MacMurray) inadvertently becomes entangled in the region's politics. He soon captures the attention of the beautiful June Tolliver (Sylvia Sidney) and quickly becomes involved in a love triangle with her and her cousin Dave (Henry Fonda)"
A Day in the Country,"Short, Comedy, Drama, Romance","The family of a Parisian shop-owner spends a day in the country. The daughter falls in love with a man at the inn, where they spend the day."
Wife vs. Secretary,"Comedy, Drama, Romance","Magazine publisher Van Stanhope is a hard-working, dynamic executive very happily married to his beautiful wife Linda. Although their relationship is is built on unconditional trust, friends caution her about the dangers of allowing Whitey, her husband's extremely sexy secretary, to continue to have access to him. Even Van's mother warns Linda that Van's father philandered during their marriage, and Van, like all men, will eventually succumb to opportunity and temptation. Although Whitey has a faithful boyfriend, she secretly harbors unrequited feelings for her boss. When they take business trip to Havana, circumstantial evidence convinces Linda that the rumors she's heard may have a basis in fact."
Winds of the Wasteland,"Comedy, Romance, Western","The Pony Express days are coming to an end, with riders John Blair (John Wayne) and his friend Larry Adams (Lane Chandler), both about 75 pounds too heavy for the original job description, out of a job. They pay Cal Drake (Douglas Cosgrove) of Buchanan City a big price for the Crescent City line and equipment, and arrive there to find it is a ghost mining town and has only two residents: eccentric, self-proclaimed Mayor ""Rocky"" O'Brien (Lew Kelly) and Dr. William Forsythe (Sam Flint). With the arrival from back east of Barbara Forsythe (Phyllis Fraser), the doctor's daughter and Ginger Rogers lookalike, O'Brien happily changes the blackboard population sign from two to five. John determines to get even and operate the line anyway, after vacating a resident skunk from the stagecoach. On his first run into Buchanan City John learns of a coach race to be staged (fastest team to win a $25,000 government mail contract) and he signs up. A telegraph crew, drinking unknowingly of a poisoned well, are saved by John's timely arrival on the scene,and agree to run their line through Crescent City if John can get laborers.He takes them from Buchanan City, leaving it nearly deserted and O'Brien wearing out his chalk changing the population sign upwardly in Crescent City.Drake decides to get rid of John by hiring him, for $1,000, to drive a gold shipment to Sacramento, and ambushing him. John evades the ambush by taking another route and returns to collect his thousand dollars at gunpoint. As the race for the mail contract starts, Drake and his henchmen throw many obstacles in John's way."
A Woman Rebels,"Drama, History, Romance","The story revolves around Pamela, as a woman in late-1800's England who has no intention of marriage and wishes to be her own person. After a great deal of difficulty in finding a job, she finally lands a position at a ""woman's"" magazine, which covered topics such as sewing and cooking. After the editor takes sick, she moves the magazine into discussing issues of gender equality, child labor, medical care, and finding a job. She then finds herself as the unexpected leader of a movement. After an unexpected event, she is also faced with raising a child without a father, which people at that time thought was scandalous."
Angel,"Action, Drama, Fantasy, Thriller","The vampire Angelus, now known as Angel, has a human soul, but committed terrible crimes in the past. Seeking forgiveness and trying to redeem himself, he moves from Sunnydale (and a relationship with Buffy Summers, of ""Buffy the Vampire Slayer"") to Los Angeles, where he helps the downtrodden by thwarting the supernatural creatures that prey on them."
The Awful Truth,"Comedy, Romance","Before their divorce becomes final, Jerry and Lucy Warriner both do their best to ruin each other's plans for remarriage, Jerry to haughty socialite Barbara Vance, she to oil-rich bumpkin Daniel Leeson. Among their strategies: Jerry's court-decreed visitation rights with Mr. Smith, their pet fox terrier, and Lucy doing her most flamboyant Dixie Belle Lee impersonation as Jerry's brassy ""sister"" before his prospective bride's scandalized family."
Born to the West,"Romance, Western","Dare Rudd and Dinkey Hooley, roaming cowhands, drift into Montana, where they meet Dare's cousin, Tom Fillmore, cattleman and banker. Tom offers them jobs but they pass, until Dare sees Tom's sweetheart, Judy Worstall and decides to take the job. He is put in charge of a cattle drive, replacing ranch-foreman Lynn Hardy, who is in cahoots with Bart Hammond, rustler. Dare delivers the cattle to the railhead and is about to return when he is persuaded into a poker game by Buck Brady, a crooked gambler. Dare is almost cleaned out when Tom appears and takes a hand and discovers the dealer is switching decks."
Here Comes the Groom,"Comedy, Musical, Romance","Pete Garvey, foreign correspondent, has been running an impromptu adoption agency for war orphans in Paris, when an ultimatum from his erstwhile fiancée Emmadel Jones draws him back to Boston, complete with two adopted orphans to melt her heart. Too late! She's now engaged to rich, handsome Wilbur Stanley. And if Pete's not married within five days, he loses the kids. He'll have to work fast..."
Breakfast for Two,"Comedy, Romance","Playboy Jonathan Blair wakes up after a night on the town to find that Texan Valentine Ransome has escorted him home. Val is attracted to Jonathan but, finding that his life is aimless and his family shipping company almost bankrupt, she decides to reform him first and marry him later. Aiding her is Jonathan's unctuous butler, Butch; in her way is his fiancée, ditzy actress Carol. Lots of slapstick."
The Bride Wore Red,"Comedy, Drama, Romance","Count Armalia believes that the luck of birth is all that separates the rich from the poor. To test his theory, he sends Anni, who is a singer in a dive, to a ritzy resort for two weeks. With fancy new clothes and ersatz status, Anni decides that she likes the rich life. But with time running out, she needs a rich husband and Rudi is the one she chooses. Only it takes longer than two weeks for Rudi to dump his fiancée and propose to her. In the weeks that she has been there, she finds that she loves Giulio, the postman with the small house and the donkey cart. But will she give up love for wealth...."
Broadway Melody of 1938,"Musical, Romance","Steve Raleight wants to produce a show on Broadway. He finds a backer, Herman Whipple and a leading lady, Sally Lee. But Caroline Whipple forces Steve to use a known star, not a newcomer. Sally purchases a horse, she used to train when her parents had a farm before the depression and with to ex-vaudevillians, Sonny Ledford and Peter Trott she trains it to win a race, providing the money Steve needs for his show."
Confession,"Crime, Drama, Romance",Aging down on her luck cabaret singer murders a respectable composer. On trial she slowly gives in and explains her crime. They had a complicated history.
Conquest,"Action, Adventure, Fantasy, Horror",Italian sword and sorcery epic from splatter director Lucio Fulci loosely inspired from the Hercules mythos about two warriors on a quest and a vengeful demon who throws all kinds of nasty creatures along the way to fill scenes of gory violence.
A Damsel in Distress,"Comedy, Music, Romance","Lady Alyce Marshmorton must marry soon, and the staff of Tottney Castle have laid bets on who she'll choose, with young Albert wagering on ""Mr. X."" After Alyce goes to London to meet a beau (bumping into dancer Jerry Halliday, instead), she is restricted to the castle to curb her scandalous behavior. Albert then summons Jerry to Alyce's aid in order to ""protect his investment."""
Dick Tracy,"Action, Comedy, Crime, Music, Romance, Thriller","All Tess Trueheart wants is to settle down to a quiet life with her boyfriend, detective Dick Tracy. But there's something pretty rotten going on in town, with someone pretty rotten behind it, and Tracy has his hands full with the likes of villain Big Boy Caprice and with the almost irresistible Breathless Mahoney."
Double Wedding,"Comedy, Romance","Waldo and Irene have been living with Margit for the four years that they have been engaged. Margit has planned the wedding and the honeymoon - in fact, Margit plans everything down to what they will have for breakfast every day. The only problem is that Waldo is a milquetoast and Irene does not want to be married to a milquetoast. So she says she is in love with Charlie, a bohemian artist/producer who lives in a trailer behind Spike's Place. When Margit confronts Charlie about giving up Irene, Charlie sees that she is the one for him. To make everyone happy, Charlie will have to help Waldo get a backbone."
Easy Living,"Action, Drama, Thriller","A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems."
The Emperor's Candlesticks,"Drama, History, Romance",A male Polish secret agent and a female Russian secret-police spy smuggle messages to St. Petersburg in candlesticks. While chasing after stolen candlesticks they discover each other's identity and fall in love.
Ever Since Eve,"Comedy, Romance","Marge is a capable secretary, but her bosses are more interested in her than her abilities. This causes her to be frequently unemployed. To get a job, she changes her look to make herself unattractive. This gets her work with a writer named Freddy, who has a deadline fast approaching for his new book. Unfortunately, Freddy takes every opportunity not to work on the book and even falls for Marge when he sees her as she really looks. But as the unattractive secretary, he barely notices her and she tries everything to get him to complete his book on time."
The Good Earth,"Drama, Romance",The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But then a famine forces them to leave their land and live in the town. However it turns out to be a blessing in disguise for them...
The Great Garrick,"Comedy, Romance","The Great Garrick (Brian Aherne) is the most celebrated London theater actor of his day (eighteenth century) and is invited to Paris to star at the Comedie Francaise, the most important theatre in France. Before his departure for Paris he is mistakenly quoted as saying that he is 'going to France to teach the French how to act'. The Comedie Francaise actors and director hear about this and take this as a serious insult and thus plot to embarrass The Great Garrick when he gets to France with a great big prank. The Comedie Francaise troupe takes over an inn on Garrick's road to Paris where he spends the night. What the Comedie Francaise actors don't know is that The Great Garrick is in on the joke and just plays along. A wrench is thrown into the plot when a lone, lovely traveler (Olivia de Havilland who was later Aherne's sister-in-law), who is not part of the prank, shows up looking for a room at the inn that the Comedie Francaise troupe has taken over. Garrick treats her as though she is one of the troupe but she falls in love with him. An always delightful Edward Everett Horton plays The Great Garrick's valet."
History Is Made at Night,"Drama, Romance","The obsessive and jealous shipowner Bruce Vail does not accept the divorce his wife Irene Vail achieved in London, and he hires his driver Michael Browsky to forge adultery with Irene in Paris to make the decree null. However, she is rescued by the headwaiter Paul Dumond, who punches Michael and locks Bruce and his private eyes in a locker, and they spend a wonderful night together in the restaurant Chateau Bleu, where Paul and his best friend Chef Cesare work, and they fall in love for each other. Meanwhile, Bruce kills Michael and blackmails Irene, blaming Paul and forcing her to return with him to New York. But Paul does not give up on Irene, and moves to New York with Cesare trying to find her love."
Hollywood Hotel,"Comedy, Musical, Romance","Ronny Bowers, a saxophonist in Benny Goodman's band has won a talent contest an got a ten week contract with a film studio. On his first evening he is supposed to go with the studio's star Mona Marshall to a movie premiere. But this lady doesn't want to go, so the bosses decide to use for Mona a double, Virginia. When Mona finds out next morning that happened, she insisted to fire her double and Ronny. Ronny finds work as singing waiter in a drive in, and is spotted by a director of the same studio, who wants him to lend his voice for an leading actor in a musical. After the first screening the actor is invited by Louella Parsons to sing in her program ""Hollywood Hotel"". He accepts, but he doesn't know that Ronny Bowers does not want to lend him his voice again. So everybody starts to play his little game to solve his own problems."
In Old Chicago,"Action, Drama, Musical, Romance","Story of the great fire of 1871. Fictional story of two sons of Mrs. O'Leary (the owner of the cow which started the fire), one a rogue (Power) the other a lawyer (Ameche). One of the most expensive films of its time ($1.8 million)."
Kid Galahad,"Crime, Drama, Romance, Sport","When a bellhop knocks out fighter Chuck McGraw, promoter Nick Donati realizes he's a potential champ. ""Kid Galahad"" justifies Nick's confidence, but Nick's mistress Fluff falls for him; in turn, the Kid falls for Nick's young sister. Now overprotective brother Nick turns against his new fighter, leading to a near- disastrous title fight and a murderous confrontation."
Knight Without Armor,"Adventure, Drama, History, Romance, Thriller","Because he can pass as a Russian, A.J. Fothergill is recruited to spy on the revolutionary movement in Russia in 1913. He becomes imprisoned in Siberia, as a revolutionary, until the 1917 uprisings. Amid the turmoil of the civil war between the red and white armies, he tries to flee Russia along with the beautiful Countess Alexandra."
Another Public Enemy,"Action, Drama",A public prosecutor looks to bring down a corrupt public official.
Love Is News,"Comedy, Romance","When a crafty reporter uses false pretenses to get a story out of heiress Tony Gateson, she turns the tables on him, telling the press that she's engaged to him and that she's given him a million dollar dowry. Suddenly he's on the front page and every salesman is at his doorstep. He loses his job and a day later asks her to call off the ruse; she tricks him again and the publicity continues. She stays cheerful and resourceful through a series of misadventures that has him alternately back on his job and fired. Meanwhile, a count who's her ex-fiancé shows up in New York, and maybe that marriage is back on. Can an heiress be a human being, and can a reporter get a scoop?"
Make Way for Tomorrow,"Comedy, Drama, Romance","At a family reunion, the Cooper clan find that their parents' home is being foreclosed. ""Temporarily,"" Ma moves in with son George's family, Pa with daughter Cora. But the parents are like sand in the gears of their middle-aged children's well regulated households. Can the old folks take matters into their own hands?"
Two Merry Adventurers,"Comedy, Crime, Romance","Hans Albers and Heinz Rühmann play two confidence tricksters. They manage to stop a night train for nefarious purposes, and impersonate Sherlock Holmes and Dr Watson. Romantic involvement with two young British female travelers ensues, but the plot deepens into the disappearance of rare Mauritius postage stamps which they undertake to recover, in their role as Holmes and Watson."
Maytime,"Drama, Musical, Romance","An elderly Miss Morrison recounts her life as the once young and beautiful opera singer Marcia Morney-then the toast of Napoleon III's Paris. One evening, she encounters an American voice student, Paul Allison, and the two unexpectedly fall in love. Unfortunately for her, she has already accepted the marriage proposal of her mentor, Nicolai Nazaroff-more out of obligation than any feeling of love for him. As a result, she breaks off her relationship with Paul, and reluctantly marries Nicolai. After 7 years of marriage, Nicolai sets up Marcia for an engagement performance in the United States of the opera ""Tsaritsa"". Nicolai signs up Paul as her leading partner, not knowing of Marcia and Paul's past. When he realizes what he has done, Nicolai becomes enraged with jealousy..."
My Favorite Wife,"Comedy, Romance","Ellen Arden arrives 7 years after being given up for dead in a shipwreck, to find her husband Nick just remarried to Bianca. The overjoyed Nick awkwardly tries to break the news gently to Bianca. But before he can do that, an unpleasant surprise--news that Ellen has spent the 7 years on a deserted island with fellow-survivor Burkett. Nick's jealousy tries to find out the truth. Hilarious confusion reigns before Nick chooses his favorite wife."
Nothing Sacred,"Drama, Fantasy, Romance","Hazel Flagg of Warsaw, Vermont receives the news that her terminal case of radium poisoning from a workplace incident was a complete misdiagnosis with mixed emotions. She is happy not to be dying, but she, who has never traveled the world, was going to use the money paid to her by her factory to go to New York in style. She believes her dreams can still be realized when Wally Cook arrives in town. He is a New York reporter with the Morning Star newspaper. He believes that Hazel's valiant struggle concerning her impending death is just the type of story he needs to resurrect his name within reporting circles after a recent story he wrote led to scandal and a major demotion at the newspaper. He proposes to take Hazel to New York both to report on her story but also to provide her with a grand farewell to life. She accepts. Wally's story results in Hazel becoming the toast of New York. In spending time together, Wally and Hazel fall in love. Hazel not only has to figure out what to do about her relationship with Wally, but also how to conclude her now very public story, which all of New York expects will be a public and imminent death. Others, however, may conclude the story for her."
Personal Property,"Comedy, Romance",Raymond Dabney returns to his family after trouble with the law. He convinces the sheriff to give him a job watching the house and furniture of widow Crystal Wetherby without knowing she is...
The Prisoner of Zenda,"Adventure, Drama, Romance","This is a classic swashbuckler. Rudolph Rassendyll, Rudolf V's identical distant cousin, is asked to risk his life and impersonate the would-be king when his relative is kidnapped before his impending coronation. If Rudolf V isn't present at the ceremony, he will forfeit the crown to his older half-brother. Complications ensue when Princess Flavia, the king's cousin and betrothed, begins to notice a ""personality change"" in her fiancé."
Saratoga,"Drama, Comedy, Romance","Carol Clayton is the daughter of a horse breeder at Saratoga. Though engaged to wealthy Hartley Madison, and disgusted by bookie Duke Bradley, her father owes Bradley a lot of money and Bradley takes a shine to her."
Shall We Dance,"Comedy, Drama, Music, Romance","John Clark is a middle aged Chicago estate lawyer. He loves his family, which includes his wife Beverly, but their combined busy schedules and getting caught in a rut after two decades of marriage has left him feeling unfulfilled. While taking the el train home every night, he notices the same young, beautiful contemplative woman staring out of one of the windows of Miss Mitzi's Dance Studio, which specializes in ballroom. He is intrigued enough with her beauty and sadness to go in one evening on his way home. He learns that she is Paulina, one of the instructors and a former world class ballroom dancer. Because of her, he signs up for beginner group dance lessons, regardless of them being taught by Miss Mitzi herself, and not Paulina. As time progresses, John gets caught up in the lives of those at Miss Mitzi's: his two fellow classmates - overweight Vern who wants to learn to dance for his upcoming wedding, and Chic, who wants to impress the ladies - and two of the studio's competitive amateurs, opinionated and brash Bobbie, who is looking for a dance partner, and one person who surprises John and who just wants to be able to show his true colors to the world while hiding under a mask. But as Paulina slowly allows herself to be involved in their lives as well, despite she vowing not to fraternize with the students, John comes to the spoken realization of what he was looking for when he first spotted Paulina in the window. Similarly, each of those at the dance studio are looking for their small place in life with the right person, Paulina included. John may not get the happy ending that he wants as Beverly, based on circumstances, believes he is having an affair."
Snow White and the Seven Dwarfs,"Animation, Family, Fantasy, Musical, Romance","The beautiful and kindhearted princess Snow White charms every creature in the kingdom except one - her jealous stepmother, the Queen. When the Magic Mirror proclaims Snow White the fairest one of all, she must flee into the forest, where she befriends the lovable seven dwarfs - Doc, Sneezy, Grumpy, Happy, Bashful, Sleepy and Dopey. But when the Queen tricks Snow White with an enchanted apple, only the magic of true love's kiss can save her!"
Souls at Sea,"Action, Adventure",Cooper and Raft save lives during a sea tragedy in this story about slave trade on the high seas in 1842.
Stand-In,"Comedy, Romance",Atterbury Dodd is an efficiency expert who believes everything can be reduced to mathematics. He is sent to Hollywood to see whether Colossal Pictures is a good investment. He soon learns that movie production doesn't fit his formulaic mindset.
A Star Is Born,"Drama, Music, Romance","Jackson Maine (Cooper), a country music star on the brink of decline, discovers a talented unknown named Ally (Germanotta). As the two begin a passionate love affair, Jackson coaxes Ally into the spotlight, catapulting her to stardom. But as Ally's career quickly eclipses his own, Jack finds it increasingly hard to handle his fading glory."
Stella Dallas,"Drama, Romance","Working-class Stella Martin marries high-end Stephen Dallas and soon they have a daughter named Laurel. But Stephen's incessant demands of Stella to become what she isn't leads to their eventual separation. Stephen later marries Helen Morrison (his prior fiancée), and Laurel becomes the focus of Stella's life and love. Nothing is too good for Laurel as far as Stella is concerned. Determined to give her all the advantages, she takes Laurel on a trip to an expensive resort where Laurel makes friends with rich kids. After an embarrassing incident, Stella realizes that her daughter would go farther in life without Stella as her mother. Her subsequent sacrifice is shattering."
That Certain Woman,"Drama, Romance","Mary Donnell was married at sixteen to a gangster and soon widowed. She works for unhappily married lawyer Lloyd Rogers. A client's son Jack elopes with her, but his father tracks them down and has the marriage annulled. Mary has a son. Unaware of this, the father remarries; his new wife is crippled in an auto accident. The lawyer, now dying, tells Mary he has left her money for her and her son, Roger's widow suspects her husband may have been the father, while Mary is convinced instead that it was her annulled ex-husband, Jack. Jack's ruthless father , upon learning he may be grandparent of the child, threatens legal action to gain custody, but his son wants no part in separating little Jackie from his mother. Further, he reasserts his love for Mary and promises he will ask his now handicapped wife, Flip, for a divorce so that Jackie will have a real family. He instructs Mary to pack her belongings and get Jackie ready to leave so that the three can start a new life together. Before Jack has a chance to inform his now-handicapped wife, Flip, of these stunning developments, Flip pays an unexpected visit to Mary's apartment. To Mary's surprise, Flip makes a heartfelt, selfless plea for her to take Jack and make him happy as (in her words) she could no longer do. Mary is so struck by the offer and by Flip's true love for Jack, that she not only decides to cancel her plans to reunite with Jack, but also to ask Jack to adopt Jackie and, along with Flip, give him a 'proper' life in society. Jack enters the apartment and, in a whispered chat with Mary, is prevented from telling Flip that he ever had any intention of leaving her."
Drums in the Deep South,"Drama, History, Romance, War, Western","Best friends Clay Clayburn and Will Denning graduate from West Point only to soon find themselves fighting on opposite sides of the Civil War. When the two men meet each other in combat, neither knows it as each is in an artillery position hundreds of yards from the other. However, the love of Clay's life, Kathy Summers, does know and tries desperately to save her two good friends from killing each other."
Drums in the Deep South,"Drama, History, Romance, War, Western","Best friends Clay Clayburn and Will Denning graduate from West Point only to soon find themselves fighting on opposite sides of the Civil War. When the two men meet each other in combat, neither knows it as each is in an artillery position hundreds of yards from the other. However, the love of Clay's life, Kathy Summers, does know and tries desperately to save her two good friends from killing each other."
The Toast of New York,"Biography, Comedy, Drama, History, Romance, War","The story starts just before the Civil War, showing Fisk, Boyd, and Luke conning Southern townsfolk into buying bars of soap that, might, have a $10 gold piece inside. Found out, they're chased out of town and escape across the Mason-Dixon Line just as the war starts. Fisk hatches a plan for him and Boyd to return to the South and buy cotton then smuggle it to the North where Luke is to sell it to the Northern textile mills. By the end of the war they have made millions, only to find out that Luke had been re-investing their money into Confederate Bonds. This fact-based movie shows Jim Fisk as one of the greatest con-men and entrepreneur's in history. It concludes with his involvement in ""Black Friday"", the Financial Panic of 1869, with fellow financier Jay Gould (who's not represented in the movie) and their attempt to corner the U.S. gold market. There's a love triangle between Fisk, Boyd and Mansfield, which is also based on historical accounts."
Topper,"Comedy, Fantasy, Romance","The funloving Kerbys, stockholders in the bank of which henpecked, stuffy Cosmo Topper is president, drive recklessly once too often and become ghosts. In limbo because they've never done either good or bad deeds, they decide to try a good one now: rehabilitating Topper. Lovely, flirtatious Marion takes a keen personal interest in the job. Will Topper survive the wrath of jealous ghost George? Will Mrs. Topper find that a scandalous husband isn't all bad?"
Young and Innocent,"Crime, Mystery, Romance, Thriller","A film actress is murdered by her estranged husband who is jealous of all her young boyfriends. The next day, writer Robert Tisdall (who happens to be one such boyfriend) discovers her body on the beach. He runs to call the police, however, two witnesses think that he is the escaping murderer. Robert is arrested, but owing to a mix up at the courthouse, he escapes and goes on the run with a police constable's daughter Erica, determined to prove his innocence."
The Adventures of Marco Polo,"Adventure, Biography, Romance","Marco Polo travels from Venice to Peking, where he quickly discovers spaghetti and gunpowder and falls in love with the Emperor's daughter. The Emperor Kublai Khan is a kindly fellow, but his evil aide Ahmed wants to get rid of Kublai Khan so he can be emperor, and to get rid of Marco Polo so he can marry the princess. Ahmed sends Marco Polo to the West to fight barbarians, but he returns just in time to save the day."
The Adventures of Robin Hood,"Action, Adventure, Romance","Sir Robin of Locksley, defender of downtrodden Saxons, runs afoul of Norman authority and is forced to turn outlaw. With his band of Merry Men, he robs from the rich, gives to the poor and still has time to woo the lovely Maid Marian, and foil the cruel Sir Guy of Gisbourne, and keep the nefarious Prince John off the throne."
Alexander Nevsky,"Action, Biography, Drama, History, War","It is the 13th century, and Russia is overrun by foreign invaders. A Russian knyaz', or prince, Alexander Nevsky, rallies the people to form a ragtag army to drive back an invasion by the Teutonic knights. This is a true story based on the actual battle at a lake near Novgorod."
Alexander's Ragtime Band,"Drama, Musical, Romance","Roger Grant, a classical violinist, disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with his singer Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend Charlie. Roger comes home after the war and an important concert at Carnegie Hall brings the corners of the romantic triangle together."
